id,max_x,max_y,max_z,min_x,min_y,min_z,mean_x,mean_y,mean_z,var_x,var_y,var_z,activity,isFall
85,0.608,-0.16,1.184,-0.992,-2.4,-0.736,-0.0019200000000000011,-1.01056,0.13216000000000006,0.0783937536,0.20902256640000008,0.09315645439999991,Run-Flat Ground,0
86,0.8,-0.16,1.184,-0.928,-2.4,-0.544,0.0022260869565217385,-0.9853217391304347,0.10212173913043483,0.07543267931947069,0.22459428778827964,0.07572071561436669,Run-Flat Ground,0
87,0.8,-0.192,1.344,-0.928,-2.4,-0.608,-0.001811320754716986,-0.9672452830188671,0.09992452830188682,0.0746134738341047,0.1923822228551086,0.09385448487006057,Run-Flat Ground,0
88,0.672,-0.192,1.344,-0.864,-2.144,-0.608,0.007666666666666666,-0.9706666666666665,0.11000000000000006,0.07041588888888882,0.1874915555555555,0.09399066666666668,Run-Flat Ground,0
89,0.768,-0.064,0.928,-0.832,-2.208,-0.512,0.01869306930693069,-0.95239603960396,0.08522772277227723,0.061992905793549644,0.2123461401823351,0.06919152239976474,Run-Flat Ground,0
90,0.768,-0.064,1.408,-0.672,-2.208,-0.64,0.0014414414414414395,-0.9649009009009,0.09081081081081083,0.06390105738170601,0.21663039558477418,0.08735440564889217,Run-Flat Ground,0
91,0.8,-0.192,1.44,-0.672,-2.144,-0.64,-0.012800000000000018,-1.0030545454545448,0.09221818181818178,0.06639615999999995,0.20786150611570256,0.11233711603305785,Run-Flat Ground,0
92,0.8,-0.192,1.44,-0.928,-2.048,-0.544,0.016470588235294112,-0.9985882352941173,0.12611764705882356,0.07018895501730105,0.21846012456747407,0.119262339100346,Run-Flat Ground,0
93,0.544,-0.32,0.768,-0.928,-1.696,-0.512,0.03657142857142855,-0.9188571428571428,0.1782857142857143,0.10003853061224491,0.20427755102040818,0.08465763265306123,Run-Flat Ground,0
94,1.056,0.544,1.728,-0.448,-2.752,-0.384,0.07745794392523364,-0.9734579439252331,0.22071028037383186,0.07857118281072581,0.34534710804437074,0.15036405624945412,Run Up Stairs,0
95,1.056,0.864,1.728,-1.344,-3.104,-0.48,0.12352688172043011,-0.8987526881720432,0.38468817204301087,0.19774412024511515,0.7080719065787954,0.22576399953751863,Run Up Stairs,0
