uid,x,y,z,timeStamp,time,activity,activityID,isFall
a0:e6:f8:00:00:c1,-0.096,-0.928,0.192,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.192,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.96,0.224,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.224,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.096,-0.928,0.192,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.064,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.288,0.064,1521638769,2018-03-21 13:26:09,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.288,0.064,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.064,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.096,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.064,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.192,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.96,0.224,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.096,-0.928,0.192,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.192,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.224,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.096,-0.928,0.224,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.096,0.064,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.064,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.064,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.288,0.064,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.32,0.064,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.064,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.096,-0.928,0.192,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.224,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.096,-0.928,0.224,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.096,-0.928,0.224,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.224,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.096,-0.928,0.224,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.288,0.064,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.288,0.064,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.288,0.064,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.064,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.288,0.032,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.288,0.032,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.032,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.288,0.032,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.288,0.064,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.288,0.032,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.288,0.032,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.288,0.032,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.96,0.224,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.256,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.096,-0.928,0.256,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.288,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0,-0.928,0.288,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.928,0.384,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.288,0.032,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.032,1521638770,2018-03-21 13:26:10,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.032,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.032,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.288,0.064,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.32,0.032,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0.032,-1.024,0.48,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.032,-0.864,0.32,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0.096,-0.896,0.352,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0.096,-0.832,0.544,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0.16,-0.768,0.416,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0.16,-0.736,0.448,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.992,0.352,0.032,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.96,0.384,0.032,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.864,0.416,0.064,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.832,0.416,0.064,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.384,0.064,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.384,0.064,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0.16,-0.768,0.544,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0.192,-0.736,0.512,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0.096,-0.736,0.544,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0,-0.864,0.704,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0.032,-0.896,0.704,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0,-0.896,0.544,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.416,0.064,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.992,0.384,0.032,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.992,0.352,0.032,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,1.12,0.288,-0.032,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,1.216,0.256,-0.064,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,1.12,0.288,-0.032,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.704,0.128,0.064,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.608,0.064,0.064,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.736,0.064,-0.064,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.16,-0.032,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.96,0.256,0.064,1521638771,2018-03-21 13:26:11,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.864,0.256,0.096,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.128,-0.928,0.16,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.256,-0.928,0.192,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.224,-1.056,0.288,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.288,-1.024,0.192,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.32,-1.088,0.256,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.384,-1.152,0.16,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.32,0.128,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,1.024,0.32,0.096,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,1.088,0.384,0,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
